orbis_name,id,original_orbis_name,kununu_name,kununu_id,original_kununu_name,match_type,Unnamed: 0
hyundai motor europe gmbh,30460985,hyundai motor europe gmbh,hyundai motor europe gmbh,e220e520-270e-4542-a16e-3385f72f3180,hyundai motor europe gmbh,exact_match,
vonovia se,2539256,vonovia se,vonovia se,827fec25-1ae2-477a-a79e-30cce670f609,vonovia se,exact_match,
beiersdorf ag,2314606,beiersdorf ag,beiersdorf ag,2e8d642b-4e43-4557-ad2b-82147589e7b5,beiersdorf ag,exact_match,
delivery hero se,113959215,delivery hero se,delivery hero se,65fa2fca-f7e2-4807-951e-d5a1404dcc79,delivery hero se,exact_match,
transnetbw gmbh,2736695,transnetbw gmbh,transnetbw gmbh,a37fedef-1fcb-4b57-a209-4ed61d4e11fd,transnetbw gmbh,exact_match,
wacker chemie ag,60521800,wacker chemie ag,wacker chemie ag,7a751d1b-d00a-42db-bff1-eafed966551e,wacker chemie ag,exact_match,
lanxess ag,12071460,lanxess ag,lanxess ag,462f22b2-d88e-4278-a98d-bcfd471579f8,lanxess ag,exact_match,
b braun melsungen ag,2627274,b braun melsungen ag,b braun melsungen ag,e822fbc7-89d8-44aa-aa11-cdf34c0a3b11,b braun melsungen ag,exact_match,
ergo group ag,7354889,ergo group ag,ergo group ag,52222c87-9040-43f7-a5f3-a0e84a710e06,ergo group ag,exact_match,
knorrbremse ag,2773763,knorrbremse ag,knorrbremse ag,faa90cdb-aa83-45e6-9d77-dcf8888fc160,knorrbremse ag,exact_match,
mainova ag,2606744,mainova ag,mainova ag,e2f1f7b1-cb26-4f31-b430-7449b19cd425,mainova ag,exact_match,
jet tankstellen deutschland gmbh,2315783,jet tankstellen deutschland gmbh,jet tankstellen deutschland gmbh,9a4e1ca4-d577-4a6a-9fdb-a1c357e7a496,jet tankstellen deutschland gmbh,exact_match,
baywa re ag,31718459,baywa re ag,baywa re ag,05571d1e-b1a5-4589-8e9f-932220ad58b9,baywa re ag,exact_match,
trianel gmbh,2520464,trianel gmbh,trianel gmbh,d4c5991c-fdd0-4a58-b74e-1c6702051baf,trianel gmbh,exact_match,
ewe ag,2379986,ewe ag,ewe ag,2425c8a8-6f3d-41c1-b1b2-170668d76177,ewe ag,exact_match,
helm ag,2314784,helm ag,helm ag,57f5f07c-761e-4624-96e3-d8f8bf157ac2,helm ag,exact_match,
globus markthallen holding gmbh und co kg,2716212,globus markthallen holding gmbh und co kg,globus markthallen holding gmbh und co kg,2f041e2c-a796-41ae-bef3-1fe4dd0cbf77,globus markthallen holding gmbh und co kg,exact_match,
edeka rheinruhr stiftung und co kg,492291473,edeka rheinruhr stiftung und co kg,edeka rheinruhr stiftung und co kg,4057260d-c0d7-42ee-be9d-047d97c3e407,edeka rheinruhr stiftung und co kg,exact_match,
westnetz gmbh,412024137,westnetz gmbh,westnetz gmbh,aa37d453-4cab-4a55-b73d-67f0ba44409d,westnetz gmbh,exact_match,
united internet ag,58933118,united internet ag,united internet ag,284e4923-a671-4105-b97a-5b91b67a3771,united internet ag,exact_match,
deichmann se,48981162,deichmann se,deichmann se,34413812-5acf-46ba-b992-2a118fd9be2e,deichmann se,exact_match,
sanacorp pharmahandel gmbh,41253831,sanacorp pharmahandel gmbh,sanacorp pharmahandel gmbh,910bf15f-e92b-4803-bca8-3e028f9c615b,sanacorp pharmahandel gmbh,exact_match,
nordex se,189657366,nordex se,nordex se,30ffb0a7-7646-46bb-8de2-13c699a610cb,nordex se,exact_match,
hornbach baumarkt ag,2692614,hornbach baumarkt ag,hornbach baumarkt ag,10f2cda7-386f-4fbe-8bd2-f45eaeeaa714,hornbach baumarkt ag,exact_match,
man truck und bus se,59959475,man truck und bus se,man truck und bus se,b816fd51-0897-4bf1-ae86-b21c35581dca,man truck und bus se,exact_match,
mvv energie ag,60521093,mvv energie ag,mvv energie ag,778de634-1d91-4f46-8a2f-365ead751a64,mvv energie ag,exact_match,
mtu aero engines ag,12165289,mtu aero engines ag,mtu aero engines ag,52711825-717e-4210-a72d-34b697d20c5d,mtu aero engines ag,exact_match,
leoni ag,2789298,leoni ag,leoni ag,6665e959-d4dd-452c-be1a-6b3dbe4e9175,leoni ag,exact_match,
goldbeck gmbh,2451001,goldbeck gmbh,goldbeck gmbh,09f22989-73d3-41a2-bf7e-37e9454922c2,goldbeck gmbh,exact_match,
samsung electronics gmbh,2650168,samsung electronics gmbh,samsung electronics gmbh,add4f73f-ee69-454b-8fbe-fde9f94df3ce,samsung electronics gmbh,exact_match,
jungheinrich ag,2328374,jungheinrich ag,jungheinrich ag,1f81eaf7-7ce3-4c32-9217-f017fc14d9ae,jungheinrich ag,exact_match,
dachser se,57045987,dachser se,dachser se,16ce4ccd-936d-49b3-bb70-8ae82812c251,dachser se,exact_match,
