orbis_name,id,original_orbis_name,kununu_name,kununu_id,original_kununu_name,match_type,Unnamed: 0
as24 tankservice gmbh,2274635,as24 tankservice gmbh,as24 tankservice gmbh,addae901-02f7-4a4c-8c1c-c927049fe392,as24 tankservice gmbh,exact_match,
flaconi gmbh,109830018,flaconi gmbh,flaconi gmbh,ef343987-f06c-41b4-859b-8dba0054c814,flaconi gmbh,exact_match,
infraserv gmbh und co gendorf kg,2823846,infraserv gmbh und co gendorf kg,infraserv gmbh und co gendorf kg,3f0d55f2-7bb5-4030-939b-60771d5a7218,infraserv gmbh und co gendorf kg,exact_match,
aryzta bakeries deutschland gmbh,2409498,aryzta bakeries deutschland gmbh,aryzta bakeries deutschland gmbh,7d8d582f-47eb-41e1-b9cd-87214c6859d5,aryzta bakeries deutschland gmbh,exact_match,
vishay semiconductor gmbh,2673763,vishay semiconductor gmbh,vishay semiconductor gmbh,63c9357c-ef0a-4460-8605-dcd2c862d87b,vishay semiconductor gmbh,exact_match,
procredit holding ag und co kgaa,37399393,procredit holding ag und co kgaa,procredit holding ag und co kgaa,8c2317c8-d140-473e-aec9-33cb0a8ab3b4,procredit holding ag und co kgaa,exact_match,
hywax gmbh,2341876,hywax gmbh,hywax gmbh,a60d0372-9659-4741-9cfd-e855fae94bac,hywax gmbh,exact_match,
rheinbahn ag,2529171,rheinbahn ag,rheinbahn ag,f0ada35d-a58c-4ce0-9e93-3208bcd8630d,rheinbahn ag,exact_match,
ds holding gmbh,134306392,ds holding gmbh,ds holding gmbh,117bdb68-4ece-45df-9f62-51f792eec8e7,ds holding gmbh,exact_match,
jacob elektronik gmbh,61734077,jacob elektronik gmbh,jacob elektronik gmbh,91212fe2-4c0a-4d41-8a73-d202e4a5d025,jacob elektronik gmbh,exact_match,
boston scientific medizintechnik gmbh,16919863,boston scientific medizintechnik gmbh,boston scientific medizintechnik gmbh,352a64ba-b4cb-4e34-b072-10110652b600,boston scientific medizintechnik gmbh,exact_match,
arthrex gmbh,2844588,arthrex gmbh,arthrex gmbh,188c5f32-16c9-4546-b0ad-1eb01b707d94,arthrex gmbh,exact_match,
mega eg,2315941,mega eg,mega eg,db9f9ce8-8ba5-4d2a-99dd-68addcec1372,mega eg,exact_match,
gesobau ag,2262209,gesobau ag,gesobau ag,1d0a47b6-2cca-40f7-9b71-3be129f27518,gesobau ag,exact_match,
toyota material handling deutschland gmbh,2345409,toyota material handling deutschland gmbh,toyota material handling deutschland gmbh,5741456a-0e27-4aed-be45-7bc986f15e43,toyota material handling deutschland gmbh,exact_match,
james hardie europe gmbh,9292027,james hardie europe gmbh,james hardie europe gmbh,667fae01-7791-4d9a-bf2a-bd7dd649cf0d,james hardie europe gmbh,exact_match,
nkt gmbh und co kg,192525246,nkt gmbh und co kg,nkt gmbh und co kg,62f14ab2-12c5-45c3-b29b-c6febdc878ba,nkt gmbh und co kg,exact_match,
holborn europa raffinerie gmbh,2323707,holborn europa raffinerie gmbh,holborn europa raffinerie gmbh,fe4caa41-bca4-4f5f-959e-cce84c07cf34,holborn europa raffinerie gmbh,exact_match,
mitsui chemicals europe gmbh,2533671,mitsui chemicals europe gmbh,mitsui chemicals europe gmbh,6cbfdc2f-0b23-4311-a071-c0af8e57681d,mitsui chemicals europe gmbh,exact_match,
stadtwerke stuttgart gmbh,123624216,stadtwerke stuttgart gmbh,stadtwerke stuttgart gmbh,7bb64f72-6ac0-4f76-8039-5e4876855928,stadtwerke stuttgart gmbh,exact_match,
lamilux heinrich strunz holding gmbh und co kg,2762381,lamilux heinrich strunz holding gmbh und co kg,lamilux heinrich strunz holding gmbh und co kg,49ed38d0-e34e-494b-9725-495a2f74ce06,lamilux heinrich strunz holding gmbh und co kg,exact_match,
berding beton gmbh,2291836,berding beton gmbh,berding beton gmbh,9bb9791b-11d3-4507-b4e7-10c245139b42,berding beton gmbh,exact_match,
stappert deutschland gmbh,2529670,stappert deutschland gmbh,stappert deutschland gmbh,0d4ba7ab-4524-477d-a414-a2c60596fa33,stappert deutschland gmbh,exact_match,
reinzdichtungsgmbh,8437872,reinzdichtungsgmbh,reinzdichtungsgmbh,79973cb8-e5eb-4acb-aa7c-f7dd1167ea8d,reinzdichtungsgmbh,exact_match,
bt germany gmbh und co ohg,6550019,bt germany gmbh und co ohg,bt germany gmbh und co ohg,c9a601fa-8bbe-41d3-a316-458084d7ab36,bt germany gmbh und co ohg,exact_match,
goodyear germany gmbh,7592164,goodyear germany gmbh,goodyear germany gmbh,435f05ae-41fc-4ddb-8868-5f4cdb704735,goodyear germany gmbh,exact_match,
secunet security networks ag,49049437,secunet security networks ag,secunet security networks ag,e09b2625-17a4-401a-b897-0724a69143d4,secunet security networks ag,exact_match,
wimex agrarprodukte import und export gmbh,2434848,wimex agrarprodukte import und export gmbh,wimex agrarprodukte import und export gmbh,12e8b56d-7d29-425f-9687-3e2b062f08e7,wimex agrarprodukte import und export gmbh,exact_match,
gewofag holding gmbh,79101825,gewofag holding gmbh,gewofag holding gmbh,a76b1cfb-f41f-472b-927a-5140c671577f,gewofag holding gmbh,exact_match,
chiesi gmbh,7464446,chiesi gmbh,chiesi gmbh,fbf7655f-0eaf-40be-8a1d-8e4db1322e98,chiesi gmbh,exact_match,
kleemann gmbh,16624765,kleemann gmbh,kleemann gmbh,3bbe7127-27b2-4e12-906b-1ac3927055e3,kleemann gmbh,exact_match,
tesatspacecom gmbh und co kg,2739987,tesatspacecom gmbh und co kg,tesatspacecom gmbh und co kg,51535507-93c8-400b-a827-8b7f993403cd,tesatspacecom gmbh und co kg,exact_match,
bearingpoint gmbh,2608622,bearingpoint gmbh,bearingpoint gmbh,25d1334a-a887-4658-a816-b18457c13ff8,bearingpoint gmbh,exact_match,
capron gmbh,31668195,capron gmbh,capron gmbh,7f5e887b-1dd8-4206-affe-32eb615d2372,capron gmbh,exact_match,
swp stadtwerke pforzheim gmbh und co kg,6548320,swp stadtwerke pforzheim gmbh und co kg,swp stadtwerke pforzheim gmbh und co kg,67884ab4-8e76-4f7d-bc5d-0c76c22c3e22,swp stadtwerke pforzheim gmbh und co kg,exact_match,
deag deutsche entertainment ag,6740180,deag deutsche entertainment ag,deag deutsche entertainment ag,60d6cd7f-3d19-42ab-8d93-ea22d61cf3fb,deag deutsche entertainment ag,exact_match,
autohaus reisacher gmbh,2769498,autohaus reisacher gmbh,autohaus reisacher gmbh,46102a76-fdd0-44e4-9e56-97e90816b0df,autohaus reisacher gmbh,exact_match,
gerhard schubert gmbh,2742558,gerhard schubert gmbh,gerhard schubert gmbh,94c1a35d-e28d-4e06-9326-cc6f135ebefe,gerhard schubert gmbh,exact_match,
aristo pharma gmbh,125660653,aristo pharma gmbh,aristo pharma gmbh,19dcb08a-b8d9-487e-9550-56f96adb24fd,aristo pharma gmbh,exact_match,
despec supplies gmbh,2571971,despec supplies gmbh,despec supplies gmbh,99fa3f3f-a79d-4734-ab7e-851886ecf2a9,despec supplies gmbh,exact_match,
glatt gmbh,2654912,glatt gmbh,glatt gmbh,500b9eba-0769-4cc3-a0e1-39e524fcf67b,glatt gmbh,exact_match,
ars altmann ag,2765956,ars altmann ag,ars altmann ag,128bd299-daae-4080-97a8-356a5bc3122a,ars altmann ag,exact_match,
arcelormittal stahlhandel gmbh,12067269,arcelormittal stahlhandel gmbh,arcelormittal stahlhandel gmbh,39f48a2e-bbff-43b0-b4a7-c5e8f72a606e,arcelormittal stahlhandel gmbh,exact_match,
albrecht jung gmbh und co kg,2487010,albrecht jung gmbh und co kg,albrecht jung gmbh und co kg,6fb124be-a02c-444e-a810-2027aa29e746,albrecht jung gmbh und co kg,exact_match,
dematic gmbh,50917721,dematic gmbh,dematic gmbh,a28285ef-9a14-481a-8c96-604de0022afa,dematic gmbh,exact_match,
takenaka europe gmbh,2530790,takenaka europe gmbh,takenaka europe gmbh,f7b8009a-a53d-4e38-a1a4-e13894345293,takenaka europe gmbh,exact_match,
hengst se,17596735,hengst se,hengst se,48c76490-0198-409a-b481-78ccaf5aa73d,hengst se,exact_match,
imcd deutschland gmbh,2565594,imcd deutschland gmbh,imcd deutschland gmbh,6559048f-e88b-45d6-9f9e-bedb7cdf7160,imcd deutschland gmbh,exact_match,
trox gmbh,49075494,trox gmbh,trox gmbh,deda4c88-42d0-4499-9ca1-e5956b1144d8,trox gmbh,exact_match,
andros deutschland gmbh,2638972,andros deutschland gmbh,andros deutschland gmbh,ea76d198-b1f4-47f8-9bec-f942e8957c1f,andros deutschland gmbh,exact_match,
schwarzwaldbaar klinikum villingenschwenningen gmbh,2741687,schwarzwaldbaar klinikum villingenschwenningen gmbh,schwarzwaldbaar klinikum villingenschwenningen gmbh,5e64578c-8bcf-4bde-bf74-8966ce2fea74,schwarzwaldbaar klinikum villingenschwenningen gmbh,exact_match,
rws gmbh,8437640,rws gmbh,rws gmbh,b3e1ee4d-5c4c-4c44-8f86-522b7f28a708,rws gmbh,exact_match,
pepsico deutschland gmbh,2638935,pepsico deutschland gmbh,pepsico deutschland gmbh,ec5c1c1c-07c5-4738-aa7d-7ed7fb608dd1,pepsico deutschland gmbh,exact_match,
landguth heimtiernahrung gmbh,15758964,landguth heimtiernahrung gmbh,landguth heimtiernahrung gmbh,2b91077a-aa60-4c57-80a9-1daa49eb6bc4,landguth heimtiernahrung gmbh,exact_match,
weber maschinenbau gmbh breidenbach,2510362,weber maschinenbau gmbh breidenbach,weber maschinenbau gmbh breidenbach,260ea96e-e40d-4d64-b7e2-3a02c91d4a78,weber maschinenbau gmbh breidenbach,exact_match,
schmidt clemens gmbh co kg,2549435,schmidt clemens gmbh co kg,schmidt clemens gmbh co kg,596fd909-34dc-4e67-b090-301356577b79,schmidt clemens gmbh co kg,exact_match,
ziemann holvrieka gmbh,145894339,ziemann holvrieka gmbh,ziemann holvrieka gmbh,6795cc9a-b299-47c4-933a-a550a1b2872f,ziemann holvrieka gmbh,exact_match,
bad gesundheitsvorsorge und sicherheitstechnik gmbh,2525937,bad gesundheitsvorsorge und sicherheitstechnik gmbh,bad gesundheitsvorsorge und sicherheitstechnik gmbh,fd2eca22-63e9-42e1-a844-61cd616991d9,bad gesundheitsvorsorge und sicherheitstechnik gmbh,exact_match,
grn gesundheitszentren rheinneckar ggmbh,16536759,grn gesundheitszentren rheinneckar ggmbh,grn gesundheitszentren rheinneckar ggmbh,798f2f67-5d58-47c6-82cb-4199877decd9,grn gesundheitszentren rheinneckar ggmbh,exact_match,
linamar plettenberg gmbh,2487824,linamar plettenberg gmbh,linamar plettenberg gmbh,3af09b2f-1de8-474c-8f4a-b1cb1c959e59,linamar plettenberg gmbh,exact_match,
capgemini outsourcing services gmbh,59038024,capgemini outsourcing services gmbh,capgemini outsourcing services gmbh,f3ce4230-2429-496d-94e9-554d369df62b,capgemini outsourcing services gmbh,exact_match,
caterpillar motoren gmbh und co kg,2358897,caterpillar motoren gmbh und co kg,caterpillar motoren gmbh und co kg,69edb57f-6128-41d6-96e5-c211e34fe2aa,caterpillar motoren gmbh und co kg,exact_match,
munchener hypothekenbank eg,754659,munchener hypothekenbank eg,munchener hypothekenbank eg,a6cbf2f4-7365-4180-9fca-34e6dfa113af,munchener hypothekenbank eg,exact_match,
elster gmbh,35559710,elster gmbh,elster gmbh,ddc6757c-5ec7-4686-8405-17e70e2380ed,elster gmbh,exact_match,
equinix germany gmbh,114042453,equinix germany gmbh,equinix germany gmbh,efe18f06-0b1e-4de4-8260-97190afe99b8,equinix germany gmbh,exact_match,
weiling gmbh,2491827,weiling gmbh,weiling gmbh,ce1e3de0-9d78-4472-ab12-82f41dbe3302,weiling gmbh,exact_match,
gerhard lang recycling gmbh,30673315,gerhard lang recycling gmbh,gerhard lang recycling gmbh,e7d244a7-8aa4-4c1b-8238-46ebed780374,gerhard lang recycling gmbh,exact_match,
mainzer netze gmbh,31701851,mainzer netze gmbh,mainzer netze gmbh,ac6d230d-2479-49f3-af45-e4be22db7c57,mainzer netze gmbh,exact_match,
md elektronik gmbh,2817298,md elektronik gmbh,md elektronik gmbh,458655fa-fb47-467e-8c6f-02350d974408,md elektronik gmbh,exact_match,
ingredion germany gmbh,57039887,ingredion germany gmbh,ingredion germany gmbh,dc2867d5-bc6e-48bd-ad04-c30df798a75d,ingredion germany gmbh,exact_match,
gerry weber international ag,2451216,gerry weber international ag,gerry weber international ag,76a1d057-3c42-4c30-ad1b-0caa36722af8,gerry weber international ag,exact_match,
bavaria film gmbh,2774100,bavaria film gmbh,bavaria film gmbh,7073dace-329e-4299-a38e-f7c7eb191fd2,bavaria film gmbh,exact_match,
air hamburg luftverkehrsgesellschaft mbh,41141068,air hamburg luftverkehrsgesellschaft mbh,air hamburg luftverkehrsgesellschaft mbh,b97dd550-22f6-4e83-a2b3-ba7b60b4a2dd,air hamburg luftverkehrsgesellschaft mbh,exact_match,
laurens spethmann holding ag und co kg,48980624,laurens spethmann holding ag und co kg,laurens spethmann holding ag und co kg,33d32954-8494-420e-b111-75dd0edb7723,laurens spethmann holding ag und co kg,exact_match,
frischpack gmbh,2817736,frischpack gmbh,frischpack gmbh,19833afe-7e23-44b9-be64-4f712e358a1b,frischpack gmbh,exact_match,
behr ag,198981787,behr ag,behr ag,fdbcde8f-438a-4311-a875-dcd356f49cc8,behr ag,exact_match,
remsmurrkliniken ggmbh,53482455,remsmurrkliniken ggmbh,remsmurrkliniken ggmbh,ce345a8e-5a84-4ed2-9ff1-671e3d5bcf45,remsmurrkliniken ggmbh,exact_match,
colt technology services gmbh,2614373,colt technology services gmbh,colt technology services gmbh,cfeb96ff-2485-4089-97a9-760535ef4e3b,colt technology services gmbh,exact_match,
2g energy ag,46085983,2g energy ag,2g energy ag,58f6b956-f61c-4ca6-9082-55b22b3943dc,2g energy ag,exact_match,
klinikum lippe gmbh,2482162,klinikum lippe gmbh,klinikum lippe gmbh,5b7c9615-bace-4585-b300-89da07d6b60a,klinikum lippe gmbh,exact_match,
ecolab deutschland gmbh,2534704,ecolab deutschland gmbh,ecolab deutschland gmbh,bdf87137-e599-4ade-b137-752c19ec22cc,ecolab deutschland gmbh,exact_match,
ufp deutschland gmbh,2548679,ufp deutschland gmbh,ufp deutschland gmbh,04932067-9110-4068-84a2-b3ab0de9b261,ufp deutschland gmbh,exact_match,
texas instruments deutschland gmbh,2849667,texas instruments deutschland gmbh,texas instruments deutschland gmbh,248156ff-ed5a-4420-8749-daf619171caa,texas instruments deutschland gmbh,exact_match,
new work se,9287216,new work se,new work se,eda9f562-ed8c-4564-945b-baba99da5df2,new work se,exact_match,
gn audio germany gmbh,2820554,gn audio germany gmbh,gn audio germany gmbh,bb8a75d6-c87a-4787-9cad-9dfa1b3271a5,gn audio germany gmbh,exact_match,
piening gmbh,2451558,piening gmbh,piening gmbh,5161104f-3311-471d-a018-d50f3ebe0e4f,piening gmbh,exact_match,
wbm wohnungsbaugesellschaft berlinmitte mbh,2268030,wbm wohnungsbaugesellschaft berlinmitte mbh,wbm wohnungsbaugesellschaft berlinmitte mbh,f9b52008-63ae-4d40-8eb3-fe200c464e27,wbm wohnungsbaugesellschaft berlinmitte mbh,exact_match,
lichtgitter gmbh,2491368,lichtgitter gmbh,lichtgitter gmbh,bf62bc3d-e1e5-4d65-9064-23011c459132,lichtgitter gmbh,exact_match,
bohnenkamp ag,2372353,bohnenkamp ag,bohnenkamp ag,d74b6f78-c398-4f5e-9968-b7c6784aaf82,bohnenkamp ag,exact_match,
givaudan deutschland gmbh,2465427,givaudan deutschland gmbh,givaudan deutschland gmbh,9f983e41-015b-4d8c-8684-942d543f942f,givaudan deutschland gmbh,exact_match,
controlware gmbh,2638982,controlware gmbh,controlware gmbh,dd3f14b3-c269-4871-8494-6d1e63ec888f,controlware gmbh,exact_match,
energis gmbh,2718468,energis gmbh,energis gmbh,834f2f76-a4bc-43e8-8fa3-27904f88eb25,energis gmbh,exact_match,
seeberger gmbh,145895780,seeberger gmbh,seeberger gmbh,6cb859b6-9346-4318-b464-c3d2dc19a6c2,seeberger gmbh,exact_match,
ursapharm arzneimittel gmbh,2713908,ursapharm arzneimittel gmbh,ursapharm arzneimittel gmbh,2fa89ed1-7ade-42fe-aea5-a392b097d7e3,ursapharm arzneimittel gmbh,exact_match,
thor gmbh,2719900,thor gmbh,thor gmbh,365e77a9-a6b4-4575-8782-9d6d7520806a,thor gmbh,exact_match,
interfer edelstahl handelsgesellschaft mbh,2679333,interfer edelstahl handelsgesellschaft mbh,interfer edelstahl handelsgesellschaft mbh,f56ef70b-927a-4742-b86f-d118c83eb5bb,interfer edelstahl handelsgesellschaft mbh,exact_match,
alberdingk boley gmbh,2569923,alberdingk boley gmbh,alberdingk boley gmbh,eceb9b79-bcaa-4f3c-bd4a-c4c5fc41a287,alberdingk boley gmbh,exact_match,
pilkington automotive deutschland gmbh,2513544,pilkington automotive deutschland gmbh,pilkington automotive deutschland gmbh,a861c4c2-302a-41ff-9b8e-d5f8dfcf1a57,pilkington automotive deutschland gmbh,exact_match,
walter ag,2705694,walter ag,walter ag,69158185-cdb1-49f6-a0b2-c0393adc1fe3,walter ag,exact_match,
cteam consulting und anlagenbau gmbh,9635664,cteam consulting und anlagenbau gmbh,cteam consulting und anlagenbau gmbh,197dd267-3dc2-4bbc-92f8-a9cef5c444ca,cteam consulting und anlagenbau gmbh,exact_match,
aareon ag,2637901,aareon ag,aareon ag,31da391e-a367-436e-bebd-64f2aaab36ae,aareon ag,exact_match,
avl deutschland gmbh,2637473,avl deutschland gmbh,avl deutschland gmbh,e40347e7-13c2-498e-bc15-8f3559d430ab,avl deutschland gmbh,exact_match,
euromaster gmbh,299672559,euromaster gmbh,euromaster gmbh,33e09ad3-0b9d-4b45-bcc4-add6aad7831c,euromaster gmbh,exact_match,
agrofert deutschland gmbh,2400175,agrofert deutschland gmbh,agrofert deutschland gmbh,11de05e1-6923-4c7a-9590-ea7f8cf97271,agrofert deutschland gmbh,exact_match,
weberhydraulik gmbh,2668348,weberhydraulik gmbh,weberhydraulik gmbh,f9ff644b-af0a-4358-9882-fffd2eea2f12,weberhydraulik gmbh,exact_match,
klinikum st georg ggmbh,31669911,klinikum st georg ggmbh,klinikum st georg ggmbh,0af5a6a3-87ba-4fd7-a3f1-99a05355cc00,klinikum st georg ggmbh,exact_match,
a raymond gmbh und co kg,2657818,a raymond gmbh und co kg,a raymond gmbh und co kg,080d8806-350b-43a0-9617-56d663035fb5,a raymond gmbh und co kg,exact_match,
dr wolffgruppe gmbh,6542142,dr wolffgruppe gmbh,dr wolffgruppe gmbh,dd0951d8-e3bb-4cc5-870b-0a18270e6730,dr wolffgruppe gmbh,exact_match,
ta triumphadler gmbh,2789288,ta triumphadler gmbh,ta triumphadler gmbh,7b707ea9-eda5-478f-bf0a-c830fd84f6a1,ta triumphadler gmbh,exact_match,
hoyer handel gmbh,7577707,hoyer handel gmbh,hoyer handel gmbh,1e3713d2-314d-45ae-aabf-4b33f08ea2c7,hoyer handel gmbh,exact_match,
nsk deutschland gmbh,2529302,nsk deutschland gmbh,nsk deutschland gmbh,a905b0fe-d2fa-4ea0-b2af-6c296d3d97c0,nsk deutschland gmbh,exact_match,
compo expert gmbh,98252366,compo expert gmbh,compo expert gmbh,ead89bfe-05e7-4866-b16a-43f0fc9d45b3,compo expert gmbh,exact_match,
daa deutsche angestelltenakademie gmbh,2343443,daa deutsche angestelltenakademie gmbh,daa deutsche angestelltenakademie gmbh,9a9c29f9-5290-40ba-a271-e15498758336,daa deutsche angestelltenakademie gmbh,exact_match,
trinseo deutschland gmbh,79352728,trinseo deutschland gmbh,trinseo deutschland gmbh,5586e28d-130d-4c7e-ab2f-2e65265cd94e,trinseo deutschland gmbh,exact_match,
fleggaard gmbh,2308745,fleggaard gmbh,fleggaard gmbh,bc0d3789-d1e2-4659-bf51-5a2dc5abbb81,fleggaard gmbh,exact_match,
cybex gmbh,11471953,cybex gmbh,cybex gmbh,61b3a50b-c100-4e6d-b25c-ffe533be0f63,cybex gmbh,exact_match,
meffert ag farbwerke,2599247,meffert ag farbwerke,meffert ag farbwerke,91228863-a3fa-4e3d-929b-458b87955892,meffert ag farbwerke,exact_match,
mnet telekommunikations gmbh,2783536,mnet telekommunikations gmbh,mnet telekommunikations gmbh,3df5b97c-f276-4d2a-a357-31795286c8cb,mnet telekommunikations gmbh,exact_match,
linde hydraulics gmbh und co kg,147909571,linde hydraulics gmbh und co kg,linde hydraulics gmbh und co kg,3ede402b-2b14-439a-86dc-d7e9d91d1516,linde hydraulics gmbh und co kg,exact_match,
hako gmbh,2386345,hako gmbh,hako gmbh,d23d0f10-fa24-48bc-8da8-e0dc6c0912c1,hako gmbh,exact_match,
weberhaus gmbh und co kg,2694641,weberhaus gmbh und co kg,weberhaus gmbh und co kg,dfc55979-2b61-485e-a7f9-153135337cdb,weberhaus gmbh und co kg,exact_match,
kumho tire europe gmbh,11463636,kumho tire europe gmbh,kumho tire europe gmbh,c97d8f09-7ceb-406b-b300-1c1a74190626,kumho tire europe gmbh,exact_match,
peter jensen gmbh,8005174,peter jensen gmbh,peter jensen gmbh,84c713f6-2259-4f1a-a1b7-b65cfab346f4,peter jensen gmbh,exact_match,
canon production printing germany gmbh und co kg,2578004,canon production printing germany gmbh und co kg,canon production printing germany gmbh und co kg,6b66c148-413a-495d-a3df-c363c5a2c289,canon production printing germany gmbh und co kg,exact_match,
carlthiemklinikum cottbus ggmbh,9881581,carlthiemklinikum cottbus ggmbh,carlthiemklinikum cottbus ggmbh,d23681d4-ba3b-4ac9-9aa7-bb25b8367bc8,carlthiemklinikum cottbus ggmbh,exact_match,
mercer timber products gmbh,308388080,mercer timber products gmbh,mercer timber products gmbh,296c7dca-0dc2-4121-9a63-78dbb4fbf29c,mercer timber products gmbh,exact_match,
richemont northern europe gmbh,2775625,richemont northern europe gmbh,richemont northern europe gmbh,8d889e4e-46c2-4ec5-82cc-bb4a4a77acc0,richemont northern europe gmbh,exact_match,
anton gerl gmbh,2555669,anton gerl gmbh,anton gerl gmbh,d6e76f71-3859-469e-9c59-99350fe5f3e1,anton gerl gmbh,exact_match,
yaskawa europe gmbh,84661626,yaskawa europe gmbh,yaskawa europe gmbh,a521eb1e-3545-48f5-b81a-62e96686d602,yaskawa europe gmbh,exact_match,
enni energie und umwelt niederrhein gmbh,2568875,enni energie und umwelt niederrhein gmbh,enni energie und umwelt niederrhein gmbh,4d3aca0e-0d91-407c-9041-87c27ae18482,enni energie und umwelt niederrhein gmbh,exact_match,
netze duisburg gmbh,41186612,netze duisburg gmbh,netze duisburg gmbh,13422155-6770-4739-a1d3-7d149c4f849a,netze duisburg gmbh,exact_match,
stuttgart netze gmbh,170213402,stuttgart netze gmbh,stuttgart netze gmbh,dad27086-0b6f-4ad6-9923-6d3516d2c211,stuttgart netze gmbh,exact_match,
porr oevermann gmbh,41176253,porr oevermann gmbh,porr oevermann gmbh,ccd3b047-7792-4c1a-80ea-c957bf05e83c,porr oevermann gmbh,exact_match,
mr wash autoservice ag,97711801,mr wash autoservice ag,mr wash autoservice ag,139d5133-2f70-412f-86cf-cf08ddf3cd9a,mr wash autoservice ag,exact_match,
deutsche windtechnik ag,41132711,deutsche windtechnik ag,deutsche windtechnik ag,66cffbe7-9220-48e2-86d8-de5144cb8912,deutsche windtechnik ag,exact_match,
pcc services gmbh der deutschen bank,13905434,pcc services gmbh der deutschen bank,pcc services gmbh der deutschen bank,893e8068-f693-475a-bbb1-7dc0d387db9f,pcc services gmbh der deutschen bank,exact_match,
joysonquin automotive systems gmbh,12959963,joysonquin automotive systems gmbh,joysonquin automotive systems gmbh,5dee57e4-ec07-419c-a060-69e21ee0fc1c,joysonquin automotive systems gmbh,exact_match,
mitsubishi hitec paper europe gmbh,59959516,mitsubishi hitec paper europe gmbh,mitsubishi hitec paper europe gmbh,0bc5f533-87d3-4e95-85f6-ecae3d774130,mitsubishi hitec paper europe gmbh,exact_match,
tst gmbh,2649114,tst gmbh,tst gmbh,e186fb32-cdd0-4ee2-bb31-5819249dc52a,tst gmbh,exact_match,
kliniken nordoberpfalz ag,18297240,kliniken nordoberpfalz ag,kliniken nordoberpfalz ag,3b9e1d58-29eb-468e-853e-f1ab7783decd,kliniken nordoberpfalz ag,exact_match,
domicil seniorenresidenzen hamburg se,130924786,domicil seniorenresidenzen hamburg se,domicil seniorenresidenzen hamburg se,c44b1aae-6efd-40ef-aa3f-37384e08ff34,domicil seniorenresidenzen hamburg se,exact_match,
bmk group gmbh und co kg,39823752,bmk group gmbh und co kg,bmk group gmbh und co kg,d60f1156-e8c8-4dbc-8029-5b58c535e09b,bmk group gmbh und co kg,exact_match,
retail operating company deutschland gmbh,13934041,retail operating company deutschland gmbh,retail operating company deutschland gmbh,83cd52e2-510f-4fad-b145-7234795e96b2,retail operating company deutschland gmbh,exact_match,
nidec gpm gmbh,2425021,nidec gpm gmbh,nidec gpm gmbh,6e2339e6-9eee-4a7a-8813-278c59e33668,nidec gpm gmbh,exact_match,
keller und kalmbach gmbh,2773754,keller und kalmbach gmbh,keller und kalmbach gmbh,3fae570a-c0fd-44a5-aef6-5f1b55eea2bc,keller und kalmbach gmbh,exact_match,
nxp semiconductors germany gmbh,18489354,nxp semiconductors germany gmbh,nxp semiconductors germany gmbh,7faf6666-5c87-48f9-8f35-16ec2636b246,nxp semiconductors germany gmbh,exact_match,
lumileds germany gmbh,145433061,lumileds germany gmbh,lumileds germany gmbh,984959f2-281d-4471-ab4f-237be3f38187,lumileds germany gmbh,exact_match,
stollwerck gmbh,8900923,stollwerck gmbh,stollwerck gmbh,8f66ca7f-1ae6-480e-9a10-b1026fcc844e,stollwerck gmbh,exact_match,
criteo gmbh,80209869,criteo gmbh,criteo gmbh,e011ac2b-206b-4107-9883-f0b0c87941c3,criteo gmbh,exact_match,
asml berlin gmbh,2262365,asml berlin gmbh,asml berlin gmbh,53d60c0a-486e-4360-9ee6-ce4d6f051690,asml berlin gmbh,exact_match,
chep deutschland gmbh,2558582,chep deutschland gmbh,chep deutschland gmbh,25190c31-4e29-44d3-bfd7-f1733ad3dba5,chep deutschland gmbh,exact_match,
schumacher packaging gmbh,2761387,schumacher packaging gmbh,schumacher packaging gmbh,d614e306-5874-49ed-adb3-8c0899cce455,schumacher packaging gmbh,exact_match,
eintracht frankfurt fussball ag,2615327,eintracht frankfurt fussball ag,eintracht frankfurt fussball ag,214215ef-2ef3-4939-92ec-52ec255b137e,eintracht frankfurt fussball ag,exact_match,
wienerberger gmbh,2350051,wienerberger gmbh,wienerberger gmbh,84ecb7f4-3ad5-4b5c-84ab-f746b98da35d,wienerberger gmbh,exact_match,
cummins deutschland gmbh,2635992,cummins deutschland gmbh,cummins deutschland gmbh,8299a1eb-08ef-432a-b34d-98646cd5e809,cummins deutschland gmbh,exact_match,
senec gmbh,109903812,senec gmbh,senec gmbh,cb7e18fa-0363-49c8-9ad1-cc934f6b11d3,senec gmbh,exact_match,
klinikum westfalen gmbh,2464739,klinikum westfalen gmbh,klinikum westfalen gmbh,e992b2d9-db53-4be6-afcc-b14220a234c0,klinikum westfalen gmbh,exact_match,
tci international logistics gmbh,59622523,tci international logistics gmbh,tci international logistics gmbh,4d788247-7bfb-4d6b-a646-ba38b6ad9132,tci international logistics gmbh,exact_match,
keyence deutschland gmbh,2643820,keyence deutschland gmbh,keyence deutschland gmbh,2181bb47-c903-4103-ad77-67f34001dd6f,keyence deutschland gmbh,exact_match,
etex building performance gmbh,2530319,etex building performance gmbh,etex building performance gmbh,62e96a9b-5a7c-4221-9a35-2866aaa3f02b,etex building performance gmbh,exact_match,
stadtwerk am see gmbh und co kg,142010510,stadtwerk am see gmbh und co kg,stadtwerk am see gmbh und co kg,efb446c1-1d74-4dd2-a0e4-2377f2894667,stadtwerk am see gmbh und co kg,exact_match,
